2019-09-17 20:22:36,951 [DEBUG] [1] [Log][Debug] - FrmMain_Load(): Initial Success!
2019-09-17 20:23:19,952 [WARN ] [8] [Log][Warn] - VerifyProtocolFormat() errorCode = 0, Cannot decode Len = 2, deleteLen = 2, Data = 22 33 
2019-09-17 20:23:32,340 [WARN ] [8] [Log][Warn] - VerifyProtocolFormat() errorCode = 0, Cannot decode Len = 2, deleteLen = 2, Data = 22 33 
2019-09-17 20:23:32,522 [WARN ] [8] [Log][Warn] - VerifyProtocolFormat() errorCode = 0, Cannot decode Len = 2, deleteLen = 2, Data = 22 33 
2019-09-17 20:23:32,696 [WARN ] [8] [Log][Warn] - VerifyProtocolFormat() errorCode = 0, Cannot decode Len = 2, deleteLen = 2, Data = 22 33 
2019-09-17 20:23:32,876 [WARN ] [8] [Log][Warn] - VerifyProtocolFormat() errorCode = 0, Cannot decode Len = 2, deleteLen = 2, Data = 22 33 
2019-09-17 20:23:33,039 [WARN ] [8] [Log][Warn] - VerifyProtocolFormat() errorCode = 0, Cannot decode Len = 2, deleteLen = 2, Data = 22 33 
2019-09-17 20:23:33,214 [WARN ] [8] [Log][Warn] - VerifyProtocolFormat() errorCode = 0, Cannot decode Len = 2, deleteLen = 2, Data = 22 33 
2019-09-17 20:23:33,377 [WARN ] [8] [Log][Warn] - VerifyProtocolFormat() errorCode = 0, Cannot decode Len = 2, deleteLen = 2, Data = 22 33 
2019-09-17 20:23:33,552 [WARN ] [8] [Log][Warn] - VerifyProtocolFormat() errorCode = 0, Cannot decode Len = 2, deleteLen = 2, Data = 22 33 
2019-09-17 20:23:33,731 [WARN ] [8] [Log][Warn] - VerifyProtocolFormat() errorCode = 0, Cannot decode Len = 2, deleteLen = 2, Data = 22 33 
2019-09-17 20:23:33,912 [WARN ] [8] [Log][Warn] - VerifyProtocolFormat() errorCode = 0, Cannot decode Len = 2, deleteLen = 2, Data = 22 33 
2019-09-17 20:23:34,091 [WARN ] [8] [Log][Warn] - VerifyProtocolFormat() errorCode = 0, Cannot decode Len = 2, deleteLen = 2, Data = 22 33 
2019-09-17 20:23:34,274 [WARN ] [8] [Log][Warn] - VerifyProtocolFormat() errorCode = 0, Cannot decode Len = 2, deleteLen = 2, Data = 22 33 
2019-09-17 20:23:34,451 [WARN ] [8] [Log][Warn] - VerifyProtocolFormat() errorCode = 0, Cannot decode Len = 2, deleteLen = 2, Data = 22 33 
2019-09-17 20:23:34,639 [WARN ] [8] [Log][Warn] - VerifyProtocolFormat() errorCode = 0, Cannot decode Len = 2, deleteLen = 2, Data = 22 33 
